TIME, CPU_LOAD, CORES, GPU_LOAD, MIN_GPU_LOAD, MAX_GPU_LOAD, USED_MEMORY, PEEK_MEMORY, RAM_LOAD, MIN_RAM_LOAD, MAX_RAM_LOAD, GPU_TEMP, MIN_TEMP, MAX_TEMP
23/6/2020/;19:31:44:338,-858993460,,5,0,5,213,225,27,0,27,50,0,50,
23/6/2020/;19:31:51:272,-858993460,,13,0,13,211,225,28,0,28,50,0,50,
23/6/2020/;19:31:58:160,-858993460,,1,0,1,214,225,28,0,28,50,0,50,
23/6/2020/;19:32:3:160,-858993460,,10,0,10,214,225,28,0,28,51,0,51,
23/6/2020/;19:32:8:164,-858993460,,16,0,16,215,225,28,0,28,51,0,51,
23/6/2020/;19:32:13:767,-858993460,,0,0,0,228,236,28,0,28,51,0,51,
23/6/2020/;19:32:18:784,-858993460,,14,0,14,228,236,28,0,28,51,0,51,
23/6/2020/;19:32:23:816,-858993460,,27,0,27,224,236,28,0,28,51,0,51,
23/6/2020/;19:32:28:827,-858993460,,23,0,23,222,236,28,0,28,50,0,50,
23/6/2020/;19:32:33:832,-858993460,,28,0,28,222,236,28,0,28,50,0,50,
23/6/2020/;19:32:38:844,-858993460,,21,0,21,221,236,28,0,28,50,0,50,
23/6/2020/;19:32:43:856,-858993460,,24,0,24,220,236,28,0,28,50,0,50,
23/6/2020/;19:32:48:864,-858993460,,26,0,26,219,236,28,0,28,50,0,50,
23/6/2020/;19:32:53:877,-858993460,,26,0,26,220,236,28,0,28,50,0,50,
23/6/2020/;19:32:58:898,-858993460,,28,0,28,220,236,28,0,28,51,0,51,
23/6/2020/;19:33:3:921,-858993460,,29,0,29,229,238,28,0,28,51,0,51,
23/6/2020/;19:33:8:925,-858993460,,32,0,32,229,238,28,0,28,51,0,51,
23/6/2020/;19:33:13:941,-858993460,,24,0,24,230,238,28,0,28,50,0,50,
23/6/2020/;19:33:18:951,-858993460,,31,0,31,230,238,28,0,28,51,0,51,
23/6/2020/;19:33:23:981,-858993460,,28,0,28,230,238,28,0,28,50,0,50,
23/6/2020/;19:33:29:4,-858993460,,31,0,31,230,238,28,0,28,51,0,51,
23/6/2020/;19:33:34:16,-858993460,,31,0,31,230,238,28,0,28,51,0,51,
23/6/2020/;19:33:39:21,-858993460,,30,0,30,231,238,28,0,28,51,0,51,
23/6/2020/;19:33:44:40,-858993460,,26,0,26,231,238,28,0,28,51,0,51,
23/6/2020/;19:33:49:47,-858993460,,29,0,29,231,238,28,0,28,51,0,51,
23/6/2020/;19:33:54:65,-858993460,,31,0,31,231,238,28,0,28,50,0,50,
23/6/2020/;19:33:59:102,-858993460,,31,0,31,232,241,28,0,28,51,0,51,
23/6/2020/;19:34:4:135,-858993460,,31,0,31,233,241,28,0,28,50,0,50,
23/6/2020/;19:34:9:160,-858993460,,30,0,30,233,241,28,0,28,51,0,51,
23/6/2020/;19:34:14:210,-858993460,,38,0,38,233,241,28,0,28,51,0,51,
23/6/2020/;19:34:19:254,-858993460,,29,0,29,233,241,28,0,28,50,0,50,
23/6/2020/;19:34:24:322,-858993460,,26,0,26,233,241,28,0,28,50,0,50,
23/6/2020/;19:34:29:309,-858993460,,27,0,27,233,241,28,0,28,50,0,50,
23/6/2020/;19:34:34:321,-858993460,,33,0,33,233,241,28,0,28,50,0,50,
23/6/2020/;19:34:39:349,-858993460,,28,0,28,249,265,28,0,28,50,0,50,
23/6/2020/;19:34:44:380,-858993460,,27,0,27,249,265,28,0,28,50,0,50,
23/6/2020/;19:34:49:404,-858993460,,30,0,30,249,265,28,0,28,51,0,51,
23/6/2020/;19:34:54:452,-858993460,,26,0,26,249,265,28,0,28,50,0,50,
23/6/2020/;19:34:59:488,-858993460,,22,0,22,249,265,28,0,28,51,0,51,
23/6/2020/;19:35:4:535,-858993460,,23,0,23,249,265,28,0,28,51,0,51,
23/6/2020/;19:35:9:572,-858993460,,34,0,34,249,265,28,0,28,50,0,50,
23/6/2020/;19:35:14:587,-858993460,,29,0,29,249,265,28,0,28,50,0,50,
23/6/2020/;19:35:19:601,-858993460,,36,0,36,249,265,28,0,28,50,0,50,
23/6/2020/;19:35:24:621,-858993460,,39,0,39,249,265,28,0,28,51,0,51,
23/6/2020/;19:35:29:678,-858993460,,39,0,39,249,265,28,0,28,51,0,51,
23/6/2020/;19:35:34:719,-858993460,,34,0,34,249,265,28,0,28,50,0,50,
23/6/2020/;19:35:39:729,-858993460,,18,0,18,250,265,28,0,28,51,0,51,
23/6/2020/;19:35:44:731,-858993460,,20,0,20,250,265,28,0,28,51,0,51,
23/6/2020/;19:35:49:751,-858993460,,20,0,20,250,265,28,0,28,51,0,51,
23/6/2020/;19:35:54:756,-858993460,,19,0,19,250,265,28,0,28,51,0,51,
23/6/2020/;19:35:59:814,-858993460,,24,0,24,250,265,28,0,28,51,0,51,
23/6/2020/;19:36:4:830,-858993460,,18,0,18,250,265,28,0,28,51,0,51,
23/6/2020/;19:36:9:889,-858993460,,16,0,16,250,265,28,0,28,51,0,51,
23/6/2020/;19:36:14:899,-858993460,,16,0,16,250,266,28,0,28,51,0,51,
23/6/2020/;19:36:19:862,-858993460,,19,0,19,250,266,28,0,28,51,0,51,
23/6/2020/;19:36:24:898,-858993460,,19,0,19,250,266,28,0,28,51,0,51,
23/6/2020/;19:36:29:910,-858993460,,16,0,16,251,266,28,0,28,51,0,51,
23/6/2020/;19:36:34:946,-858993460,,33,0,33,251,266,28,0,28,51,0,51,
23/6/2020/;19:36:39:937,-858993460,,38,0,38,251,266,28,0,28,51,0,51,
23/6/2020/;19:36:44:992,-858993460,,18,0,18,271,275,28,0,28,51,0,51,
23/6/2020/;19:36:50:20,-858993460,,6,0,6,271,275,28,0,28,53,0,53,
23/6/2020/;19:36:55:66,-858993460,,4,0,4,271,275,28,0,28,53,0,53,
23/6/2020/;19:37:0:107,-858993460,,4,0,4,271,287,28,0,28,53,0,53,
23/6/2020/;19:37:5:136,-858993460,,5,0,5,271,287,28,0,28,54,0,54,
