TIME, CPU_LOAD, CORES, GPU_LOAD, MIN_GPU_LOAD, MAX_GPU_LOAD, USED_MEMORY, PEEK_MEMORY, RAM_LOAD, MIN_RAM_LOAD, MAX_RAM_LOAD, GPU_TEMP, MIN_TEMP, MAX_TEMP
23/6/2020/;19:51:18:750,-858993460,,5,0,5,215,227,29,0,29,50,0,50,
23/6/2020/;19:51:24:185,-858993460,,4,0,4,213,227,29,0,29,50,0,50,
23/6/2020/;19:51:25:184,-858993460,,31,0,31,213,227,29,0,29,50,0,50,
23/6/2020/;19:51:26:185,-858993460,,25,0,25,214,227,29,0,29,50,0,50,
23/6/2020/;19:51:27:187,-858993460,,25,0,25,214,227,29,0,29,50,0,50,
23/6/2020/;19:51:28:187,-858993460,,23,0,23,214,227,29,0,29,50,0,50,
23/6/2020/;19:51:29:188,-858993460,,31,0,31,214,227,29,0,29,51,0,51,
23/6/2020/;19:51:33:553,-858993460,,7,0,7,227,237,29,0,29,50,0,50,
23/6/2020/;19:51:34:443,-858993460,,14,0,14,227,237,29,0,29,50,0,50,
23/6/2020/;19:51:35:463,-858993460,,17,0,17,227,237,29,0,29,50,0,50,
23/6/2020/;19:51:37:534,-858993460,,8,0,8,229,237,29,0,29,50,0,50,
23/6/2020/;19:51:38:553,-858993460,,13,0,13,229,237,29,0,29,50,0,50,
23/6/2020/;19:51:39:554,-858993460,,15,0,15,229,237,29,0,29,50,0,50,
23/6/2020/;19:51:40:585,-858993460,,14,0,14,228,239,29,0,29,50,0,50,
23/6/2020/;19:51:41:606,-858993460,,16,0,16,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:42:617,-858993460,,14,0,14,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:43:638,-858993460,,17,0,17,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:44:664,-858993460,,16,0,16,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:45:690,-858993460,,15,0,15,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:46:699,-858993460,,17,0,17,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:47:719,-858993460,,15,0,15,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:48:720,-858993460,,16,0,16,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:49:718,-858993460,,17,0,17,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:50:745,-858993460,,14,0,14,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:51:767,-858993460,,15,0,15,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:52:776,-858993460,,16,0,16,229,239,29,0,29,50,0,50,
23/6/2020/;19:51:53:783,-858993460,,15,0,15,228,239,29,0,29,50,0,50,
23/6/2020/;19:51:54:777,-858993460,,16,0,16,228,239,29,0,29,50,0,50,
23/6/2020/;19:51:55:794,-858993460,,16,0,16,228,239,29,0,29,50,0,50,
23/6/2020/;19:51:56:836,-858993460,,13,0,13,231,239,29,0,29,50,0,50,
23/6/2020/;19:51:57:852,-858993460,,14,0,14,231,239,29,0,29,50,0,50,
23/6/2020/;19:51:58:867,-858993460,,15,0,15,231,239,29,0,29,50,0,50,
23/6/2020/;19:51:59:893,-858993460,,15,0,15,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:0:929,-858993460,,13,0,13,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:1:939,-858993460,,14,0,14,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:2:952,-858993460,,14,0,14,231,239,29,0,29,51,0,51,
23/6/2020/;19:52:3:977,-858993460,,12,0,12,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:5:32,-858993460,,14,0,14,231,239,29,0,29,51,0,51,
23/6/2020/;19:52:6:99,-858993460,,11,0,11,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:7:96,-858993460,,13,0,13,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:8:131,-858993460,,12,0,12,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:9:156,-858993460,,12,0,12,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:10:178,-858993460,,15,0,15,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:11:224,-858993460,,12,0,12,231,239,29,0,29,51,0,51,
23/6/2020/;19:52:12:234,-858993460,,10,0,10,231,239,29,0,29,51,0,51,
23/6/2020/;19:52:13:266,-858993460,,10,0,10,232,239,29,0,29,50,0,50,
23/6/2020/;19:52:14:307,-858993460,,13,0,13,232,239,29,0,29,51,0,51,
23/6/2020/;19:52:15:367,-858993460,,12,0,12,232,239,29,0,29,50,0,50,
23/6/2020/;19:52:16:429,-858993460,,10,0,10,232,239,29,0,29,50,0,50,
23/6/2020/;19:52:17:453,-858993460,,10,0,10,232,239,29,0,29,50,0,50,
23/6/2020/;19:52:18:455,-858993460,,10,0,10,232,239,29,0,29,50,0,50,
23/6/2020/;19:52:19:465,-858993460,,10,0,10,231,239,29,0,29,51,0,51,
