TIME, CPU_LOAD, CORES, GPU_LOAD, MIN_GPU_LOAD, MAX_GPU_LOAD, USED_MEMORY, PEEK_MEMORY, RAM_LOAD, MIN_RAM_LOAD, MAX_RAM_LOAD, GPU_TEMP, MIN_TEMP, MAX_TEMP
23/6/2020/;19:54:21:811,-858993460,,4,0,4,214,227,29,0,29,51,0,51,
23/6/2020/;19:54:21:967,-858993460,,9,0,9,214,227,29,0,29,51,0,51,
23/6/2020/;19:54:22:874,-858993460,,31,0,31,214,227,29,0,29,51,0,51,
23/6/2020/;19:54:23:875,-858993460,,25,0,25,215,227,29,0,29,51,0,51,
23/6/2020/;19:54:24:875,-858993460,,25,0,25,215,227,29,0,29,51,0,51,
23/6/2020/;19:54:25:880,-858993460,,25,0,25,214,227,29,0,29,51,0,51,
23/6/2020/;19:54:30:888,-858993460,,8,0,8,228,237,29,0,29,51,0,51,
23/6/2020/;19:54:31:793,-858993460,,15,0,15,228,237,29,0,29,51,0,51,
23/6/2020/;19:54:32:805,-858993460,,11,0,11,228,237,29,0,29,51,0,51,
23/6/2020/;19:54:33:829,-858993460,,14,0,14,228,237,29,0,29,51,0,51,
23/6/2020/;19:54:36:133,-858993460,,7,0,7,228,237,29,0,29,51,0,51,
23/6/2020/;19:54:37:165,-858993460,,16,0,16,228,237,29,0,29,51,0,51,
23/6/2020/;19:54:38:190,-858993460,,15,0,15,226,237,29,0,29,51,0,51,
23/6/2020/;19:54:39:228,-858993460,,14,0,14,226,237,29,0,29,51,0,51,
23/6/2020/;19:54:40:251,-858993460,,15,0,15,226,237,29,0,29,51,0,51,
23/6/2020/;19:54:41:294,-858993460,,11,0,11,227,237,29,0,29,51,0,51,
23/6/2020/;19:54:42:308,-858993460,,16,0,16,227,237,29,0,29,51,0,51,
23/6/2020/;19:54:43:317,-858993460,,16,0,16,227,237,29,0,29,51,0,51,
23/6/2020/;19:54:44:317,-858993460,,18,0,18,227,237,29,0,29,51,0,51,
23/6/2020/;19:54:45:376,-858993460,,15,0,15,227,237,29,0,29,51,0,51,
23/6/2020/;19:54:46:396,-858993460,,16,0,16,227,237,29,0,29,51,0,51,
23/6/2020/;19:54:47:401,-858993460,,15,0,15,228,238,29,0,29,51,0,51,
23/6/2020/;19:54:48:428,-858993460,,15,0,15,222,238,29,0,29,51,0,51,
23/6/2020/;19:54:49:444,-858993460,,14,0,14,222,238,29,0,29,51,0,51,
23/6/2020/;19:54:50:464,-858993460,,18,0,18,220,238,29,0,29,51,0,51,
23/6/2020/;19:54:51:496,-858993460,,16,0,16,220,238,29,0,29,51,0,51,
23/6/2020/;19:54:52:528,-858993460,,16,0,16,220,238,29,0,29,51,0,51,
23/6/2020/;19:54:53:560,-858993460,,16,0,16,219,238,29,0,29,51,0,51,
23/6/2020/;19:54:54:618,-858993460,,16,0,16,219,238,29,0,29,51,0,51,
23/6/2020/;19:54:55:673,-858993460,,16,0,16,218,238,29,0,29,51,0,51,
23/6/2020/;19:54:56:730,-858993460,,15,0,15,217,238,29,0,29,51,0,51,
23/6/2020/;19:54:57:755,-858993460,,16,0,16,217,238,29,0,29,51,0,51,
23/6/2020/;19:54:58:797,-858993460,,14,0,14,217,238,29,0,29,51,0,51,
23/6/2020/;19:54:59:818,-858993460,,16,0,16,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:0:877,-858993460,,16,0,16,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:1:921,-858993460,,14,0,14,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:2:935,-858993460,,13,0,13,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:3:990,-858993460,,16,0,16,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:4:980,-858993460,,13,0,13,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:6:4,-858993460,,16,0,16,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:7:43,-858993460,,15,0,15,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:8:39,-858993460,,15,0,15,217,238,29,0,29,51,0,51,
23/6/2020/;19:55:9:144,-858993460,,16,0,16,233,249,29,0,29,51,0,51,
23/6/2020/;19:55:10:147,-858993460,,12,0,12,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:11:157,-858993460,,15,0,15,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:12:187,-858993460,,14,0,14,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:13:244,-858993460,,14,0,14,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:14:259,-858993460,,13,0,13,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:15:248,-858993460,,14,0,14,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:16:295,-858993460,,18,0,18,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:17:289,-858993460,,12,0,12,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:18:338,-858993460,,15,0,15,218,249,29,0,29,51,0,51,
23/6/2020/;19:55:19:378,-858993460,,11,0,11,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:20:427,-858993460,,21,0,21,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:21:462,-858993460,,12,0,12,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:22:479,-858993460,,25,0,25,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:23:548,-858993460,,14,0,14,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:24:603,-858993460,,35,0,35,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:25:652,-858993460,,45,0,45,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:26:677,-858993460,,17,0,17,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:27:711,-858993460,,18,0,18,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:28:758,-858993460,,13,0,13,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:29:813,-858993460,,17,0,17,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:30:889,-858993460,,14,0,14,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:31:920,-858993460,,17,0,17,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:33:0,-858993460,,26,0,26,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:34:10,-858993460,,13,0,13,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:35:31,-858993460,,15,0,15,217,249,30,0,30,51,0,51,
23/6/2020/;19:55:36:27,-858993460,,16,0,16,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:37:63,-858993460,,17,0,17,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:38:96,-858993460,,17,0,17,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:39:116,-858993460,,15,0,15,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:40:157,-858993460,,16,0,16,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:41:160,-858993460,,16,0,16,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:42:231,-858993460,,17,0,17,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:43:229,-858993460,,13,0,13,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:44:248,-858993460,,14,0,14,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:45:264,-858993460,,17,0,17,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:46:324,-858993460,,14,0,14,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:47:355,-858993460,,16,0,16,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:48:393,-858993460,,16,0,16,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:49:410,-858993460,,16,0,16,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:50:451,-858993460,,13,0,13,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:51:462,-858993460,,15,0,15,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:52:464,-858993460,,15,0,15,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:53:506,-858993460,,16,0,16,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:54:525,-858993460,,14,0,14,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:55:570,-858993460,,14,0,14,218,249,30,0,30,51,0,51,
23/6/2020/;19:55:56:614,-858993460,,14,0,14,219,249,30,0,30,51,0,51,
23/6/2020/;19:55:57:720,-858993460,,11,0,11,220,249,30,0,30,51,0,51,
23/6/2020/;19:55:58:724,-858993460,,12,0,12,220,249,30,0,30,51,0,51,
23/6/2020/;19:55:59:741,-858993460,,11,0,11,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:0:774,-858993460,,12,0,12,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:1:836,-858993460,,10,0,10,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:2:834,-858993460,,9,0,9,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:3:989,-858993460,,8,0,8,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:5:100,-858993460,,8,0,8,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:6:193,-858993460,,8,0,8,220,249,30,0,30,50,0,50,
23/6/2020/;19:56:7:358,-858993460,,10,0,10,220,249,30,0,30,50,0,50,
23/6/2020/;19:56:8:560,-858993460,,8,0,8,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:9:630,-858993460,,7,0,7,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:10:735,-858993460,,9,0,9,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:11:877,-858993460,,5,0,5,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:13:46,-858993460,,4,0,4,220,249,30,0,30,51,0,51,
23/6/2020/;19:56:14:259,-858993460,,4,0,4,221,249,30,0,30,51,0,51,
23/6/2020/;19:56:15:275,-858993460,,4,0,4,221,249,30,0,30,51,0,51,
23/6/2020/;19:56:16:316,-858993460,,6,0,6,221,249,30,0,30,51,0,51,
23/6/2020/;19:56:17:393,-858993460,,8,0,8,221,249,30,0,30,51,0,51,
23/6/2020/;19:56:18:582,-858993460,,8,0,8,238,249,30,0,30,51,0,51,
