15/6/2020/;16:56:19:296;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;2; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:22:894;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;23; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:27:897;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;32; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:34:89;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;5; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:38:999;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;15; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:44:20;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;15; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:49:13;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;13; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:54:38;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;14; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:56:59:98;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;13; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:57:4:107;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;14; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:57:9:113;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;13; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:57:14:142;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
GPU MODEL;; 
GPU TEMP ;48; 
GPU LOAD ;15; 
GPU VRAM ;0; 

RAM INFO; 
RAM SIZE ;32666; 
RAM SPEED ;0; 
RAM LOAD ;25; 



;15/6/2020/;16:57:19:151;
CPU INFO;
CPU Cores ;8; 
CPU SPEED ;4334; 
CPU LOAD ;-858993460; 
;GPU INFO; 
